english,twi
hopeless,anidasoɔ nni mu
horizon,ewiem ne asase ahyiaeɛ
horn,abɛn
horror,ehu
horrible,ɛyɛ hu
horseman,ɔpɔnkɔkafoɔ
howl,pɔ so
honesty,nokorɛdie
honour,animuonyam
humane,deɛ ɔdɔ wɔ mu
humble,brɛ ase
hunch,kunkon
igloo,nsukyeneeɛ sese
bull,nantwinini
calf,nantwie ba
termite,fɔteɛ
monkey,adoe
humanitarian,ahummɔborɔ
elephant,ɔsono
humbug,nnaadaa
rabbit,adanko
horse,pɔnkɔ
donkey,afunumu pɔnkɔ
tsetsefly,huruiɛ
lion,gyata
idol,ohoni
ignite,sɔ
ant,tɛtea
redant,nhohoa
idleness,aniha
bee,wowa
sheep,odwan
goat,mmirekyie
ewe,odwan bedeɛ
locust,atuboa
wasp,kotokurodu
cattle2,nantwie
ram,odwannini
illustrious,agye din
illustration,mfatoho
ignominious,animguaseɛ
ignition,egyasɔ
ignominy,animguaseɛ
image,mfonin
ignorant,deɛ ɔnnim nyansa
imagine,de adwene bu
ignoramus,ogyimifoɔ
ignore,bu ani gu so
imbecile,ogyimifoɔ
imbibe,nom
imitation,asuasua
imitate,suasua
immaculate,ɛho te
immaterial,ɛho nhia
ministryofinterior,afisɛm asoeɛ
ill,yare
illiterate,nnim atwerɛ ne akenkan
illustrate,kyerɛ mu
illuminate,hyerɛn
illegitimate,mmara mma ho kwan
illicit,mmara mma ho kwan
illnatured,bo nkyɛre fu
hut,sese
illogical,nyansa nnim
illumination,ɛhann
husbandry,kuayɔ
husk,ntɛtɛ
hygiene,ahonidie
husky,weserewesere
hunt,yɛ ha
hunter,ɔbɔmmɔfoɔ
hustle,piapia
hydrotherapy,nsuom apɔmutenetene mu ayaresa
hygienic,ɛho te
hymn,ayɛyie nnwom
hypocrite,nyaatwomni
husbandman,okuani
hunting,ahayɔ
hypocrisy,nyaatwom
hurdle,akwansideɛ
hurl,to
hurricane,mmoatia mframa
hysteria,anikrakra
ice,nsukyeneeɛ
hurry,yɛ ntɛm
identify,hunu
idiocy,gyimie
ideology,nsusuiɛ
hurt,pira
idea,adwene
ideal,ɛyɛ
identical,ɛsɛ
idle,aniha
humiliation,animguaseɛ
humid,fɔsɔ
humiliate,gu anim ase
humbleness,ahobrɛaseɛ
humour,deɛ ɛma sereɛ
housewife,ɔbaa warefoɔ a ɔnyɛ adwuma
housemaid,abaawa
maidservant,abaawa
huff,home teetee
hug,bam
honourable,onimuonyamfoɔ
wrestling,ntentam
hullabaloo,basabasayɔ
hullo,hɛloo
huge,kɛseɛ
however,nanso
hope,anidasoɔ
hostel,asukuufoɔ daberɛ
hot,ɛyɛ hye
hotel,ahɔhogyebea
hoof,tɔte
guesthouse,ahɔhogyebea
hook,kɔtɔkorɔ
hound,ɔkraman
house,ɛdan
hoop,dantaban
hooligan,basabasayɔfoɔ
hoot,tutubɔ
housekeeping,fidua mu ntotoeɛ
hop,huri
history,abakɔsɛm
